,Python 1,Python 2,Algorithms & data structures,Statistics & data analysis in Python ,CS basics ,Case studies (MOOC),Machine Learning Intro,Deep Learning ,Big data intro,Computer Architectures,Software engineering basics (MOOC) ,Bioinformatics 
"Systems and Algorithms for Data Science (servizio, Bologna, I, en)",3,,,,,,2,5,,,,
"Machine Learning Systems For Data Science (servizio, Bologna, I, en)",3,,,,,,2,5,,,,
"Computational Methods for Bioinformatics (servizio, Bologna, I, en)",3,,,,,,,,,,,3
"Computer Programming (servizio, Bologna, I, en)",3,2,,,1,0,,,,,,
"INTRODUZIONE ALL'ANALISI DEI DATI (servizio, Bologna, I, it)",3,,,2,1,0,,,,,,
"Programming (servizio, Bologna, II, en)",3,2,2,2,1,0,2,,,,,
"INFORMATICA (servizio, Bologna, II, it)",3,,2,,1,,,,,,,
"Information Technology (servizio, Bologna, II, it)",3,,2,,1,,,,,,,
"Computer Science (servizio, Bologna, II, it)",3,2,2,,1,,,,,,,
"Programming and Computer Architectures (interno, Cesena, I, en)",3,2,,2,,,2,,,3,,
"Python Coding and Data Science (esterno, Bologna, II,en) ",3,,,,,,2,,1,,,
"Advanced Programming (esterno, Bologna, I, en)",,2,,2,,,2,,,,0,
"ADVANCED PROGRAMMING (esterno, Bologna, I, en)",3,,,2,1,0,,,,,,
"Foundations of Programming (esterno, Bologna, II, en)",3,,2,,1,,,,,,,
"Programming Laboratory (esterno, Bologna, I, it)",3,,,,1,,,,,,,
"Programming Lab (esterno, Bologna, II, it)",3,,,,,,,,,,,
