course_id,course_title,neighbor_rank,neighbor_course_id,neighbor_title,similarity
00269,Electronics,1,28651,Electronics T-A,0.78862323
00269,Electronics,2,37063,Principles of Electronics for Automation T,0.78473757
00269,Electronics,3,94247,Laboratory on Power Electronics,0.78288695
00269,Electronics,4,B8379,TECNOLOGIE MICROELETTRONICHE LM,0.74591732
00269,Electronics,5,35148,Electronics for analogic signal processing,0.74318290
00269,Electronics,6,88154,ELETTRONICA INDUSTRIALE P,0.74265967
00269,Electronics,7,93392,Analog Circuits and Sensor Systems M,0.74025441
00269,Electronics,8,28724,Electronics T-2,0.73511142
00269,Electronics,9,B0159,Integrated Analog Electronics,0.73369572
00269,Electronics,10,69773,Electronic Circuits Design,0.73225484
00819,Programming,1,00819,Programming,0.85449045
00819,Programming,2,00819,Programming,0.80758558
00819,Programming,3,37262,Computer Programming,0.77961550
00819,Programming,4,00819,Programming,0.76070176
00819,Programming,5,B1703,Introduction to Programming,0.75754278
00819,Programming,6,07276,Computer Science,0.75492492
00819,Programming,7,00819,Programming,0.74508270
00819,Programming,8,09730,Principles of Informatics,0.73753703
00819,Programming,9,B8905,Foundations of Programming,0.73503349
00819,Programming,10,15305,Foundations of Informatics A,0.73213603
00819,Programming,1,00819,Programming,0.86127995
00819,Programming,2,00819,Programming,0.85449045
00819,Programming,3,09730,Principles of Informatics,0.77518649
00819,Programming,4,15305,Foundations of Informatics A,0.76978548
00819,Programming,5,37262,Computer Programming,0.76894660
00819,Programming,6,00819,Programming,0.76279378
00819,Programming,7,16692,Laboratory of Informatics,0.75271242
00819,Programming,8,88145,Fundamentals of Computer Programming P1,0.73039392
00819,Programming,9,28623,Foundations of Informatics and Laboratory,0.72188080
00819,Programming,10,00819,Programming,0.71368260
00819,Programming,1,00819,Programming,0.86127995
00819,Programming,2,00819,Programming,0.80758558
00819,Programming,3,37262,Computer Programming,0.78168076
00819,Programming,4,00819,Programming,0.72999963
00819,Programming,5,00819,Programming,0.71340012
00819,Programming,6,28623,Foundations of Informatics and Laboratory,0.71050595
00819,Programming,7,09730,Principles of Informatics,0.70502543
00819,Programming,8,15305,Foundations of Informatics A,0.69962442
00819,Programming,9,28004,Foundations of Informatics T-1,0.69869843
00819,Programming,10,88145,Fundamentals of Computer Programming P1,0.69140262
00819,Programming,1,00819,Programming,0.77007900
00819,Programming,2,16870,Programming Laboratory,0.75190058
00819,Programming,3,00819,Programming,0.74508270
00819,Programming,4,95648,Software Design and Development,0.73819019
00819,Programming,5,37262,Computer Programming,0.72509799
00819,Programming,6,00819,Programming,0.71368260
00819,Programming,7,00819,Programming,0.71340012
00819,Programming,8,70219,Object-Oriented Programming,0.70687034
00819,Programming,9,09730,Principles of Informatics,0.69836809
00819,Programming,10,B0063,Programming Laboratory,0.69664155
00819,Programming,1,00819,Programming,0.77007900
00819,Programming,2,00819,Programming,0.76279378
00819,Programming,3,00819,Programming,0.76070176
00819,Programming,4,37262,Computer Programming,0.74778380
00819,Programming,5,00819,Programming,0.72999963
00819,Programming,6,09730,Principles of Informatics,0.70503029
00819,Programming,7,16870,Programming Laboratory,0.70382610
00819,Programming,8,15305,Foundations of Informatics A,0.69962929
00819,Programming,9,85285,Programming,0.69600797
00819,Programming,10,81612,Programming and Development paradigms,0.69465244
03716,Digital Design Principles and Computer Architecture,1,03716,Digital Design Principles and Computer Architecture,1.00000000
03716,Digital Design Principles and Computer Architecture,2,69731,Computer Architecture,0.74099950
03716,Digital Design Principles and Computer Architecture,3,69430,COMPUTER ARCHITECTURES M,0.72317122
03716,Digital Design Principles and Computer Architecture,4,69731,Computer Architecture,0.71964146
03716,Digital Design Principles and Computer Architecture,5,09730,Principles of Informatics,0.71485448
03716,Digital Design Principles and Computer Architecture,6,96007,Foundations of Computer Architecture and Operating Systems,0.70745682
03716,Digital Design Principles and Computer Architecture,7,35253,Hardware – Software Design Methods M,0.70355765
