course_a,course_b,path_a,path_b,similarity,distance
03716,03716,data/courses/.files/2025/course-03716-A.yml,data/courses/.files/2025/course-03716-B.yml,1.00000000,0.00000000
07276,96346,data/courses/.files/2025/course-07276-A.yml,data/courses/.files/2025/course-96346-A.yml,1.00000000,0.00000000
28020,28020,data/courses/.files/2025/course-28020-A.yml,data/courses/.files/2025/course-28020-B.yml,1.00000000,0.00000000
28024,28024,data/courses/.files/2025/course-28024-A.yml,data/courses/.files/2025/course-28024-B.yml,1.00000000,0.00000000
28659,28659,data/courses/.files/2025/course-28659-A.yml,data/courses/.files/2025/course-28659-B.yml,1.00000000,0.00000000
29227,29227,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-29227-B.yml,1.00000000,0.00000000
39176,39176,data/courses/.files/2025/course-39176-A.yml,data/courses/.files/2025/course-39176-B.yml,1.00000000,0.00000000
81610,88202,data/courses/.files/2025/course-81610.yml,data/courses/.files/2025/course-88202.yml,1.00000000,0.00000000
91250,91250,data/courses/.files/2025/course-91250-B.yml,data/courses/.files/2025/course-91250-C.yml,1.00000000,0.00000000
91258,B0385,data/courses/.files/2025/course-91258-A.yml,data/courses/.files/2025/course-B0385.yml,1.00000000,0.00000000
93034,93034,data/courses/.files/2025/course-93034-A.yml,data/courses/.files/2025/course-93034-B.yml,1.00000000,0.00000000
96725,96725,data/courses/.files/2025/course-96725-A.yml,data/courses/.files/2025/course-96725-B.yml,1.00000000,0.00000000
97431,B5796,data/courses/.files/2025/course-97431.yml,data/courses/.files/2025/course-B5796.yml,1.00000000,0.00000000
B8536,B8536,data/courses/.files/2025/course-B8536-A.yml,data/courses/.files/2025/course-B8536-B.yml,1.00000000,0.00000000
B8536,B8536,data/courses/.files/2025/course-B8536-A.yml,data/courses/.files/2025/course-B8536-C.yml,1.00000000,0.00000000
B8536,B8536,data/courses/.files/2025/course-B8536-B.yml,data/courses/.files/2025/course-B8536-C.yml,1.00000000,0.00000000
B8554,B8554,data/courses/.files/2025/course-B8554-A.yml,data/courses/.files/2025/course-B8554-B.yml,1.00000000,0.00000000
90074,96994,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-96994.yml,0.99917795,0.00082205
11929,37635,data/courses/.files/2025/course-11929-C.yml,data/courses/.files/2025/course-37635.yml,0.99683382,0.00316618
75969,75969,data/courses/.files/2025/course-75969-A.yml,data/courses/.files/2025/course-75969-B.yml,0.99533349,0.00466651
85573,90720,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-90720.yml,0.99442506,0.00557494
95631,B2125,data/courses/.files/2025/course-95631-B.yml,data/courses/.files/2025/course-B2125.yml,0.99122075,0.00877925
78096,91269,data/courses/.files/2025/course-78096.yml,data/courses/.files/2025/course-91269.yml,0.99042669,0.00957331
41731,75835,data/courses/.files/2025/course-41731-B.yml,data/courses/.files/2025/course-75835.yml,0.98868857,0.01131143
91248,98931,data/courses/.files/2025/course-91248.yml,data/courses/.files/2025/course-98931.yml,0.98346886,0.01653114
09730,15305,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-15305.yml,0.98293646,0.01706354
90720,91264,data/courses/.files/2025/course-90720.yml,data/courses/.files/2025/course-91264.yml,0.98109792,0.01890208
10906,95611,data/courses/.files/2025/course-10906-A.yml,data/courses/.files/2025/course-95611.yml,0.97753725,0.02246275
81678,81678,data/courses/.files/2025/course-81678-A.yml,data/courses/.files/2025/course-81678-B.yml,0.97667963,0.02332037
B5293,B8929,data/courses/.files/2025/course-B5293.yml,data/courses/.files/2025/course-B8929.yml,0.97652364,0.02347636
28016,28016,data/courses/.files/2025/course-28016-A.yml,data/courses/.files/2025/course-28016-B.yml,0.97562105,0.02437895
85573,91264,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-91264.yml,0.97531229,0.02468771
78810,B5665,data/courses/.files/2025/course-78810.yml,data/courses/.files/2025/course-B5665.yml,0.97016919,0.02983081
77933,78096,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-78096.yml,0.96520526,0.03479474
66858,90106,data/courses/.files/2025/course-66858.yml,data/courses/.files/2025/course-90106-A.yml,0.96408215,0.03591785
28724,73092,data/courses/.files/2025/course-28724.yml,data/courses/.files/2025/course-73092.yml,0.95939822,0.04060178
85189,90477,data/courses/.files/2025/course-85189.yml,data/courses/.files/2025/course-90477.yml,0.95736571,0.04263429
77933,91269,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-91269.yml,0.95563195,0.04436805
77780,96859,data/courses/.files/2025/course-77780.yml,data/courses/.files/2025/course-96859.yml,0.95406528,0.04593472
39176,82202,data/courses/.files/2025/course-39176-A.yml,data/courses/.files/2025/course-82202-B.yml,0.95164958,0.04835042
39176,82202,data/courses/.files/2025/course-39176-B.yml,data/courses/.files/2025/course-82202-B.yml,0.95164958,0.04835042
11929,11929,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-11929-D.yml,0.94940363,0.05059637
90392,B8311,data/courses/.files/2025/course-90392.yml,data/courses/.files/2025/course-B8311.yml,0.94637023,0.05362977
71148,73110,data/courses/.files/2025/course-71148.yml,data/courses/.files/2025/course-73110.yml,0.94024777,0.05975223
69430,B8561,data/courses/.files/2025/course-69430.yml,data/courses/.files/2025/course-B8561.yml,0.93254646,0.06745354
69731,69731,data/courses/.files/2025/course-69731-A.yml,data/courses/.files/2025/course-69731-B.yml,0.93142961,0.06857039
11933,41169,data/courses/.files/2025/course-11933.yml,data/courses/.files/2025/course-41169.yml,0.92557886,0.07442114
69661,73302,data/courses/.files/2025/course-69661.yml,data/courses/.files/2025/course-73302.yml,0.92253954,0.07746046
93321,93391,data/courses/.files/2025/course-93321.yml,data/courses/.files/2025/course-93391.yml,0.91530751,0.08469249
70226,95644,data/courses/.files/2025/course-70226.yml,data/courses/.files/2025/course-95644.yml,0.91484930,0.08515070
B0074,B1459,data/courses/.files/2025/course-B0074.yml,data/courses/.files/2025/course-B1459.yml,0.91440955,0.08559045
87474,93468,data/courses/.files/2025/course-87474.yml,data/courses/.files/2025/course-93468.yml,0.91317795,0.08682205
28004,28004,data/courses/.files/2025/course-28004-A.yml,data/courses/.files/2025/course-28004-B.yml,0.90992461,0.09007539
