course_id,course_title,neighbor_rank,neighbor_course_id,neighbor_title,similarity
00269,Electronics,1,28651,Electronics T-A,0.80461920
00269,Electronics,2,69773,Electronic Circuits Design,0.80342232
00269,Electronics,3,37063,Principles of Electronics for Automation T,0.79378797
00269,Electronics,4,28016-B,Electronics T,0.78153631
00269,Electronics,5,28016-A,Electronics T,0.77913003
00269,Electronics,6,B5722,Embedded Sensors,0.77810337
00269,Electronics,7,94247,Laboratory on Power Electronics,0.77669086
00269,Electronics,8,B8379,TECNOLOGIE MICROELETTRONICHE LM,0.77481741
00269,Electronics,9,28722,Electronics T-1,0.77125112
00269,Electronics,10,35148,Electronics for analogic signal processing,0.77055662
00819-A,Programming,1,00819-B,Programming,0.89875324
00819-A,Programming,2,00819-E,Programming,0.85097065
00819-A,Programming,3,00819-C,Programming,0.84397732
00819-A,Programming,4,B1703,Introduction to Programming,0.83793984
00819-A,Programming,5,00819-D,Programming,0.80936143
00819-A,Programming,6,37262,Computer Programming,0.80299792
00819-A,Programming,7,07276-B,Computer Science,0.80161085
00819-A,Programming,8,16692,Laboratory of Informatics,0.79322954
00819-A,Programming,9,85285,Programming,0.78814649
00819-A,Programming,10,28623,Foundations of Informatics and Laboratory,0.78541571
00819-B,Programming,1,00819-A,Programming,0.89875324
00819-B,Programming,2,00819-C,Programming,0.89661496
00819-B,Programming,3,00819-E,Programming,0.83457815
00819-B,Programming,4,00819-D,Programming,0.80721029
00819-B,Programming,5,37262,Computer Programming,0.79816786
00819-B,Programming,6,16692,Laboratory of Informatics,0.78858590
00819-B,Programming,7,09730-A,Principles of Informatics,0.78771431
00819-B,Programming,8,93333,Programming Lab,0.78432906
00819-B,Programming,9,15305,Foundations of Informatics A,0.77914005
00819-B,Programming,10,B1703,Introduction to Programming,0.77875656
00819-C,Programming,1,00819-B,Programming,0.89661496
00819-C,Programming,2,00819-A,Programming,0.84397732
00819-C,Programming,3,37262,Computer Programming,0.82010009
00819-C,Programming,4,00819-E,Programming,0.80021488
00819-C,Programming,5,00819-D,Programming,0.79148075
00819-C,Programming,6,85285,Programming,0.77733526
00819-C,Programming,7,16692,Laboratory of Informatics,0.77695350
00819-C,Programming,8,28623,Foundations of Informatics and Laboratory,0.77106394
00819-C,Programming,9,09730-A,Principles of Informatics,0.77037136
00819-C,Programming,10,B1703,Introduction to Programming,0.77008447
00819-D,Programming,1,00819-E,Programming,0.84043695
00819-D,Programming,2,00819-A,Programming,0.80936143
00819-D,Programming,3,00819-B,Programming,0.80721029
00819-D,Programming,4,16870,Programming Laboratory,0.80250323
00819-D,Programming,5,37262,Computer Programming,0.79828817
00819-D,Programming,6,00819-C,Programming,0.79148075
00819-D,Programming,7,95648,Software Design and Development,0.77945531
00819-D,Programming,8,85285,Programming,0.77340803
00819-D,Programming,9,B1703,Introduction to Programming,0.77323511
00819-D,Programming,10,70219,Object-Oriented Programming,0.77078467
00819-E,Programming,1,00819-A,Programming,0.85097065
00819-E,Programming,2,00819-D,Programming,0.84043695
00819-E,Programming,3,00819-B,Programming,0.83457815
00819-E,Programming,4,37262,Computer Programming,0.80582745
00819-E,Programming,5,B1703,Introduction to Programming,0.80406039
00819-E,Programming,6,00819-C,Programming,0.80021488
00819-E,Programming,7,04138,Programming Languages,0.78108181
00819-E,Programming,8,85285,Programming,0.77884967
00819-E,Programming,9,93333,Programming Lab,0.77818527
00819-E,Programming,10,09730-A,Principles of Informatics,0.77755623
03716-A,Digital Design Principles and Computer Architecture,1,03716-B,Digital Design Principles and Computer Architecture,1.00000000
03716-A,Digital Design Principles and Computer Architecture,2,11925,Computer Architecture,0.77607761
