course_id,course_path,course_sha256,course_title,cluster,cluster_name,is_noise,similarity_to_medoid
00269,data/courses/.files/2025/course-00269.yml,578fd8bc0969457a454d8b4df5f395e8bf07c97849f91ccb926a4c31dc1ca960,Electronics,2,Electronics T-A Automation (2),False,0.78862323
00819-A,data/courses/.files/2025/course-00819-A.yml,13e405ef56444219af801409e0d16918ec48349a1311e444338dfc76fbcd3ff4,Programming,6,Informatics Principles Foundations (6),False,0.73753703
00819-B,data/courses/.files/2025/course-00819-B.yml,06549817bae81d4fa5bbec67f4ce44012f41c3d8772a296605b5b3ea149a5fec,Programming,6,Informatics Principles Foundations (6),False,0.77518649
00819-C,data/courses/.files/2025/course-00819-C.yml,10ff36ac9cce7617b853a7df17827284fa3f580caf2ebe3354afb727cdf5b0b9,Programming,6,Informatics Principles Foundations (6),False,0.70502543
00819-D,data/courses/.files/2025/course-00819-D.yml,cbad7433ec4d3e0f16bf542478bf0a50b23c6dddd4c3a2185db18b23697e8f93,Programming,6,Informatics Principles Foundations (6),False,0.69836809
00819-E,data/courses/.files/2025/course-00819-E.yml,b658282ddef7c327033da32646e04b4a810bcbbd9ac672a93b93a3814c54396a,Programming,6,Informatics Principles Foundations (6),False,0.70503029
03716-A,data/courses/.files/2025/course-03716-A.yml,0d417300da58c806aff22c03da01392249e7c30ecf63aa34d6f995f68e31a2ac,Digital Design Principles and Computer Architecture,1,Architectures Design Firmware (1),False,0.68429844
03716-B,data/courses/.files/2025/course-03716-B.yml,9db98b9345355c976cf6d523beb180bd94247a13fcac1c7e369ba12a62193fd0,Digital Design Principles and Computer Architecture,1,Architectures Design Firmware (1),False,0.68429844
04138,data/courses/.files/2025/course-04138.yml,fc9eb7f70a7132894e0eda497d9e35070a71c49964b76b52ecc4f2cced2de80d,Programming Languages,25,Languages Programming Complements (25),False,1.00000000
07276-A,data/courses/.files/2025/course-07276-A.yml,3ce60841d634f14712e0f5da21c82500b448058946e3d09c2f6659992eb719ea,Computer Science,4,Informatics Informatic Basic (4),False,0.67623991
07276-B,data/courses/.files/2025/course-07276-B.yml,b8ac3993440f138213543ee7f1f3316b286209c06f795eb042c401cda4e6c876,Computer Science,6,Informatics Principles Foundations (6),False,0.72420262
07276-C,data/courses/.files/2025/course-07276-C.yml,5713e62e0320a8bac8679530cc2b0849e2fc4edf158409b44fbcc8a175e60dcc,Computer Science,4,Informatics Informatic Basic (4),False,0.69886162
07276-D,data/courses/.files/2025/course-07276-D.yml,cad3e082b13fdaf2877e92cda37049281cbdbde8e569e76a0522763ba0c5cc5d,Computer Science,4,Informatics Informatic Basic (4),False,0.69037354
