"cluster_id";"cluster_name";"course_id";"course_name";"year";"teachers";"teachers_affiliations";"teachers_ssds";"teachers_roles";"campus";"credits";"ssd";"language";"programmes_codes";"programmes_names";"programmes_types";"programmes_affiliations";"course_scope";"course_url"
"0";"Security Information Cryptography (0)";"14015";"Cryptography";"2025";"luciano.margara";"disi";"INFO-01/A";"full professor";"Cesena";"6";"INF/01";"Italian";"6673, 6699, 8614, 8615";"Computer Science and Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/447103"
"0";"Security Information Cryptography (0)";"72942";"Information Security M";"2025";"alessandr.marchesano, rebecca.montanari";"disi";"IINF-05/A";"full professor, pre-doc research fellow";"Bologna";"8";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/517546"
"0";"Security Information Cryptography (0)";"88325";"Computer and Network Security Lab T";"2025";"leonardo.barone4, marco.prandini, pierluca.pevere2";"disi";"IINF-05/A";"associate professor, teaching tutor";"Bologna";"6";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/434900"
"0";"Security Information Cryptography (0)";"93466";"FONDAMENTI DI CYBERSECURITY";"2025";"jocelyne.elias, m.dinelli";"disi";"INFO-01/A";"associate professor, teaching tutor";"Bologna";"6";"INF/01";"Italian";"5898, 6640, 6698, 8009";"Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/455457"
"0";"Security Information Cryptography (0)";"93467";"Cryptography";"2025";"davide.davoli5, ugo.dallago";"disi";"INFO-01/A";"full professor, teaching tutor";"Bologna";"6";"INF/01";"English";"5898, 6640, 6698, 6700, 8009, 9063";"Artificial Intelligence, Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/479060"
"0";"Security Information Cryptography (0)";"93470";"Cybersecurity";"2025";"g.dangelo, manuel.andruccioli, s.ferretti";"disi";"INF/01, INFO-01/A";"full professor, phd student, researcher";"Cesena";"6";"INF/01";"English";"5815, 6673, 6699, 6823, 8614, 8615";"Computer Science and Engineering, Digital Transformation Management";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/517112"
"0";"Security Information Cryptography (0)";"93470-A";"Cybersecurity";"2025";"isabella.marasco4, michele.colajanni";"disi";"IINF-05/A, ING-INF/05";"full professor, phd student";"Bologna";"6";"INF/01";"English";"5826, 5898, 6640, 6698, 6700, 8009, 9063";"Artificial Intelligence, Computer Engineering, Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/477343"
"0";"Security Information Cryptography (0)";"B0833";"Computer Security Laboratory T";"2025";"leonardo.barone4, marco.prandini, pierluca.pevere2";"disi";"IINF-05/A";"associate professor, teaching tutor";"Bologna";"6";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/487362"
"0";"Security Information Cryptography (0)";"B5793";"Cybersecurity M";"2025";"isabella.marasco4, michele.colajanni";"disi";"IINF-05/A, ING-INF/05";"full professor, phd student";"Bologna";"8";"ING-INF/05";"English";"5826, 5898, 6668, 6719, 9063, 9254";"Artificial Intelligence, Computer Engineering, Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/504338"
"0";"Security Information Cryptography (0)";"B5812";"Cybersecurity Governance";"2025";"michele.colajanni";"disi";"IINF-05/A";"full professor";"Bologna";"8";"ING-INF/05";"Italian";"5889, 6777";"Digital Innovation Policies and Governance";"LM";"sps";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/504413"
"1";"Informatics Principles Foundations (1)";"00819-B";"Programming";"2025";"andrea.bedei3, andrea.negri6, antonella.carbonaro, mirko.ravaioli, paola.salomoni, roberto.girau";"din, disi";"INF/01, INFO-01/A";"adjunct professor, associate professor, full professor, phd student, teaching tutor";"Cesena";"12";"INF/01";"Italian";"6673, 6699, 8614, 8615";"Computer Science and Engineering";"LM, LT";"disi";"weak_internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/536894"
"1";"Informatics Principles Foundations (1)";"03716";"Digital Design Principles and Computer Architecture";"2025";"elena.sarti10, luca.roffia";"dei, disi";"";"adjunct professor, teaching tutor";"Cesena";"9";"ING-INF/05";"Italian";"5834, 6669, 6670, 6705, 9082, 9266";"Biomedical Engineering, Electronics Engineering";"LM, LT";"dei";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/447691"
"1";"Informatics Principles Foundations (1)";"09730";"Principles of Informatics";"2025";"davide.domini, leonardo.micelli2, roby.casadei, sara.montagna";"dei, disi, unibo";"INFO-01/A, ING-INF/05";"external associate professor, phd student, rtdb, teaching tutor";"Cesena";"6";"ING-INF/05";"Italian";"6669, 6670, 6705, 9082, 9266";"Biomedical Engineering, Electronics Engineering";"LM, LT";"dei";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/531744"
"1";"Informatics Principles Foundations (1)";"09730-A";"Principles of Informatics";"2025";"martina.cantelli6, mirko.ravaioli";"din";"";"adjunct professor, teaching tutor";"Forli";"6";"ING-INF/05";"Italian";"0927, 0949, 5723, 5724, 6676, 6677, 6680, 6704, 6721, 9234";"Aerospace Engineering, Mechanical Engineering";"LM, LT";"din";"external";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/514508"
"1";"Informatics Principles Foundations (1)";"15305";"Foundations of Informatics A";"2025";"davide.domini, leonardo.micelli2, roby.casadei, sara.montagna";"dei, disi, unibo";"INFO-01/A, ING-INF/05";"external associate professor, phd student, rtdb, teaching tutor";"Cesena";"6";"ING-INF/05";"Italian";"5834, 6669, 6670";"Biomedical Engineering, Electronics Engineering";"LT";"dei";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/518106"
"1";"Informatics Principles Foundations (1)";"28004";"Foundations of Informatics T-1";"2025";"alessio.benenati2, armir.bujari, francesco.giordani8, wilma.penzo";"din, disi";"IINF-05/A, ING-INF/05";"associate professor, phd student, researcher, teaching tutor";"Bologna";"9";"ING-INF/05";"Italian";"0925, 0936, 6679, 6718";"Engineering Management";"LM, LT";"din";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/536944"
