course_a,course_b,path_a,path_b,similarity,distance
07276-B,96346-B,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-96346-B.yml,1.00000000,0.00000000
81610,88202,data/courses/.files/2025/course-81610.yml,data/courses/.files/2025/course-88202.yml,1.00000000,0.00000000
91258,B0385,data/courses/.files/2025/course-91258.yml,data/courses/.files/2025/course-B0385.yml,1.00000000,0.00000000
97431,B5796,data/courses/.files/2025/course-97431.yml,data/courses/.files/2025/course-B5796.yml,1.00000000,0.00000000
90074,96994,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-96994.yml,0.99945197,0.00054803
11929-A,37635,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-37635.yml,0.99788921,0.00211079
85573,90720,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-90720.yml,0.99551888,0.00448112
95631,B2125,data/courses/.files/2025/course-95631.yml,data/courses/.files/2025/course-B2125.yml,0.99414716,0.00585284
78096,91269,data/courses/.files/2025/course-78096.yml,data/courses/.files/2025/course-91269.yml,0.99361780,0.00638220
91248,98931,data/courses/.files/2025/course-91248.yml,data/courses/.files/2025/course-98931.yml,0.98897924,0.01102076
09730,15305,data/courses/.files/2025/course-09730.yml,data/courses/.files/2025/course-15305.yml,0.98862432,0.01137568
41731,75835,data/courses/.files/2025/course-41731.yml,data/courses/.files/2025/course-75835.yml,0.98857799,0.01142201
10906,95611,data/courses/.files/2025/course-10906.yml,data/courses/.files/2025/course-95611.yml,0.98744776,0.01255224
B5293,B8929,data/courses/.files/2025/course-B5293.yml,data/courses/.files/2025/course-B8929.yml,0.98434909,0.01565091
90720,91264,data/courses/.files/2025/course-90720.yml,data/courses/.files/2025/course-91264.yml,0.98133432,0.01866568
85573,91264,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-91264.yml,0.97841592,0.02158408
85189,90477,data/courses/.files/2025/course-85189.yml,data/courses/.files/2025/course-90477.yml,0.97157714,0.02842286
39176,82202-A,data/courses/.files/2025/course-39176.yml,data/courses/.files/2025/course-82202-A.yml,0.96776639,0.03223361
78810,B5665,data/courses/.files/2025/course-78810.yml,data/courses/.files/2025/course-B5665.yml,0.96597592,0.03402408
77933,78096,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-78096.yml,0.95526391,0.04473609
69430,B8561,data/courses/.files/2025/course-69430.yml,data/courses/.files/2025/course-B8561.yml,0.95503094,0.04496906
66858,90106,data/courses/.files/2025/course-66858.yml,data/courses/.files/2025/course-90106.yml,0.95381996,0.04618004
77933,91269,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-91269.yml,0.94888171,0.05111829
77780,96859,data/courses/.files/2025/course-77780.yml,data/courses/.files/2025/course-96859.yml,0.94715519,0.05284481
B0074,B1459,data/courses/.files/2025/course-B0074.yml,data/courses/.files/2025/course-B1459.yml,0.94293968,0.05706032
70226,95644,data/courses/.files/2025/course-70226.yml,data/courses/.files/2025/course-95644.yml,0.90517135,0.09482865
11933,41169,data/courses/.files/2025/course-11933.yml,data/courses/.files/2025/course-41169.yml,0.90431567,0.09568433
