course_id_teaching_id,cluster
91258_470093,83
B0385_532362,83
88145_498979,176
69430_514285,140
B8561_543025,140
78810_455152,12
B5665_529967,207
95644_498819,149
96995_526560,191
11929_536877,78
77780_400396,77
17628_526527,133
96859_526556,77
B0010_526565,115
94247_469217,38
B8390_546078,187
84401_518530,132
69259_524525,98
B3567_518554,223
84442_421799,185
37063_423128,175
97466_517925,201
98735_518146,192
B2125_493396,48
95631_502283,48
91261_446609,213
91250_493201,86
29227_536854,24
B4948_527032,122
85446_533916,98
B8836_543460,122
34991_384679,172
10907_469210,138
B8379_526905,189
76011_423478,211
72942_517546,146
84339_421625,143
10906_498821,89
95611_517117,89
93034_543007,24
81676_518523,171
85285_533250,34
95602_517113,34
16692_518110,7
28623_530782,181
85733_484401,38
07276_359934,131
15920_359935,86
35364_341621,197
84258_446007,195
28020_447114,19
88155_499017,1
28016_468093,60
88154_499015,98
28004_536944,144
69661_458219,17
73302_467993,17
91254_530660,11
90392_443929,68
B8311_542497,68
47240_498809,214
95645_498820,159
70155_378069,190
91161_445693,18
41588_493356,196
00819_524297,0
78778_468025,215
B8554_543011,209
99195_514421,160
28011_530778,4
00819_536897,28
96143_467879,85
93034_543008,24
28659_461146,55
81940_518551,139
08574_501527,208
81678_544349,43
09032_378224,117
34876_514186,69
00819_536894,182
91265_446613,40
93363_455200,34
93468_479053,32
87474_526532,32
93669_455810,5
95632_466770,79
70226_412080,212
91411_447106,168
84531_517618,151
28024_545734,49
88566_436428,153
70219_378219,2
41731_367014,98
75835_392954,98
B0073_483948,210
B0061_518190,193
00819_523706,120
95648_498808,104
29035_423140,177
73731_446002,98
28021_434708,0
91762_530690,198
B8562_543026,224
85301_424201,150
95646_498812,218
10906_378217,3
42500_412687,40
81654_412108,13
28724_445983,54
73092_446015,54
99191_479946,130
88324_434899,39
B0832_487361,39
72939_517543,180
08574_378218,19
28024_545733,49
93319_455112,22
96725_485396,217
85573_424782,122
91264_446611,122
90720_518535,122
72787_385090,6
95605_517116,6
81934_526530,98
99192_479954,16
85734_484402,16
93395_514410,16
00269_469208,126
96642_469640,167
87901_504526,15
87898_523514,162
B6082_523530,15
66857_524333,134
60348_529124,127
71148_423141,38
73110_446003,38
